"STUSPS","STATEFP","COUNTYFP","COUNTYNS","GEOID","NAME","NAMELSAD","LSAD","CLASSFP","MTFCC","CSAFP","CBSAFP","METDIVFP","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","STATE_COUNTY","STATE","COUNTY","Access","Percentage ID with GT","Percentage ID in Non-Title I Schools","Percentage ID in Title I Schools","Equity Ratio between Non-Title I and Title I schools","Equity (RI) by Race Overall Latinx","Equity (RI) by Race Non-Title I Latinx","Equity (RI) by Race Title I Latinx","Equity (RI) by Race Overall AIAN","Equity (RI) by Race Non-Title I AIAN","Equity (RI) By Race Title I AIAN","Equity (RI) by Race Overall Asian","Equity (RI) by Race Non-Title I Asian","Equity (RI) by Race Title I Asian","Equity (RI) by Race Overall NHPI","Equity (RI)  by Race Non-Title I NHPI","Equity (RI) by Race Title I NHPI","Equity (RI) by Race Overall Black","Equity  (RI) by Race Non-Title I Black","Equity (RI) by Race Title I Black","Equity (RI) by Race Overall White","Equity (RI)  by Race Non-Title I White","Equity (RI) by Race Title I White","Equity (RI) by Race Overall TMR","Equity (RI)  by Race Non-Title I TMR","Equity (RI) by Race Title I TMR","Gifted Access Percentage by Race Overall Latinx","Gifted Access Percentage by Race Non-Title I Latinx","Gifted Access Percentage by Race Title I Latinx","Gifted Access Percentage by Race Overall AIAN","Gifted Access Percentage by Race Non-Title I AIAN","Gifted Access Percentage by Race Title I AIAN","Gifted Access Percentage by Race Overall Asian","Gifted Access Percentage by Race Non-Title I Asian","Gifted Access Percentage by Race Title I Asian","Gifted Access Percentage by Race Overall NHPI","Gifted Access Percentage by Race Non-Title I NHPI","Gifted Access Percentage by Race Title I NHPI","Gifted Access Percentage by Race Overall Black","Gifted Access Percentage by Race Non-Title I Black","Gifted Access Percentage by Race Title I Black","Gifted Access Percentage by Race Overall White","Gifted Access Percentage by Race Non-Title I White","Gifted Access Percentage by Race Title I White","Gifted Access Percentage by Race Overall TMR","Gifted Access Percentage by Race Non-Title I TMR","Gifted Access Percentage by Race Title I TMR","LEA_STATE","NMCNTY","Count Missing Lower Bound Overall","Count Missing Upper Bound Overall","Percent Missing Lower Bound Overall","Percent Missing Upper Bound Overall","Count Missing Lower Bound AIAN","Count Missing Upper Bound AIAN","Percent Missing Lower Bound AIAN","Percent Missing Upper Bound AIAN","Count Missing Lower Bound Asian","Count Missing Upper Bound Asian","Percent Missing Lower Bound Asian","Percent Missing Upper Bound Asian","Count Missing Lower Bound Black","Count Missing Upper Bound Black","Percent Missing Lower Bound Black","Percent Missing Upper Bound Black","Count Missing Lower Bound Latinx","Count Missing Upper Bound Latinx","Percent Missing Lower Bound Latinx","Percent Missing Upper Bound Latinx","Count Missing Lower Bound NHPI","Count Missing Upper Bound NHPI","Percent Missing Lower Bound NHPI","Percent Missing Upper Bound NHPI","Count Missing Lower Bound TMR","Count Missing Upper Bound TMR","Percent Missing Lower Bound TMR","Percent Missing Upper Bound TMR","Count Missing Lower Bound White","Count Missing Upper Bound White","Percent Missing Lower Bound White","Percent Missing Upper Bound White","REGION"
CA,06,013,01675903,06013,Contra Costa,Contra Costa County,06,H1,G4020,488,41860,36084,A,1857229826,225285866,+37.9194790,-121.9515431,CA_Contra Costa County,CA,Contra Costa County,56.0129659643436,6.76185344827586,4.87591895495793,2.80824317580982,0.57594131521697,0.54243304291707,0.605319605319605,0.537183746486072,0.771428571428571,0.575757575757576,1.02702702702703,0.54243304291707,0.605319605319605,0.537183746486072,0.819672131147541,0.82,0.864864864864865,0.47809152872444,0.562741312741313,0.341846758349705,0.897771952817824,0.837692100296576,0.919745222929936,0.890387858347386,0.825701624815362,0.952380952380952,3.66756826378156,4.84823284823285,2.92154905154748,5.15759312320917,4.76190476190476,5.52486187845304,3.66756826378156,4.84823284823285,2.92154905154748,5.53745928338762,6.640625,4.74860335195531,3.23520839405421,4.51057458356728,1.85858585858586,6.07160372731731,6.71161988395797,5.00261917234154,6.0228802153432,6.6170151818963,5.17733387688545,CA,Contra Costa County,4793,8311,0.414261019878997,0.550835100742312,15,28,0.454545454545455,0.608695652173913,536,742,0.149972020145495,0.196296296296296,643,1019,0.658811475409836,0.753698224852071,2769,4274,0.708546571136131,0.789580639201921,38,67,0.527777777777778,0.663366336633663,396,685,0.525198938992042,0.656759348034516,1456,2732,0.439480833081799,0.595336674656788,Pacific
CA,06,019,00277274,06019,Fresno,Fresno County,06,H1,G4020,260,23420,NA,A,15432139300,136609898,+36.7610058,-119.6550193,CA_Fresno County,CA,Fresno County,40.6340571847437,5.79634464751958,4.5669229868457,2.0435337617748,0.44746402942657,0.700323255371744,0.495121183506453,0.711503845524464,1.43617021276596,0.759493670886076,1.59,0.700323255371744,0.495121183506453,0.711503845524464,1.10489510489511,1.26174496644295,1.12658227848101,0.684729064039409,0.590778097982709,0.702325581395349,1.49037413730476,1.14639491562568,1.86282306163022,1.66470588235294,1.08292682926829,1.93589743589744,4.05966511711874,2.36747297992795,4.41957199934322,8.36501901140684,3.60824742268041,9.91596638655462,4.05966511711874,2.36747297992795,4.41957199934322,6.41132389675271,6.03566529492455,6.99152542372881,3.9766081871345,2.82352941176471,4.3579766536965,8.64016556005864,5.48239720505241,11.5701105477516,9.6301465457083,5.1792828685259,12.0300751879699,CA,Fresno County,7743,12602,0.613209788548349,0.720690838384994,38,54,0.365384615384615,0.45,587,985,0.469224620303757,0.597331716191631,500,744,0.786163522012579,0.845454545454545,6438,9606,0.781595240985796,0.842262165716791,19,50,0.197916666666667,0.393700787401575,159,221,0.535353535353535,0.615598885793872,728,1008,0.266471449487555,0.334661354581673,Pacific
CA,06,111,00277320,06111,Ventura,Ventura County,06,H1,G4020,348,37100,NA,A,4771987962,947345370,+34.3587415,-119.1331432,CA_Ventura County,CA,Ventura County,75.3814336702358,7.68808687263813,10.1407284768212,3.87725860891808,0.38234517547535,0.564540686855016,0.480040254948004,0.745758147050902,1.08333333333333,1.07142857142857,1.04761904761905,0.564540686855016,0.480040254948004,0.745758147050902,2.14473684210526,1.46969696969697,2.97530864197531,0.601694915254237,0.392,0.850877192982456,1.50435949027498,1.12757902706795,1.55493586168433,1.55246913580247,1.12641509433962,1.80733944954128,4.34014522045063,5.80392156862745,4.03651482284888,8.61423220973783,12.8440366972477,5.69620253164557,4.34014522045063,5.80392156862745,4.03651482284888,16.4542294322132,17.578125,15.9802306425041,4.66165413533835,4.78170478170478,4.59363957597173,11.5662006945063,13.6345756711574,8.41632347435417,11.9268558951965,13.6274509803922,9.79064039408867,CA,Ventura County,2247,3953,0.20550576184379,0.312737341772152,17,23,0.425,0.5,135,187,0.0991189427312775,0.132248939179632,140,217,0.693069306930693,0.777777777777778,2250,4230,0.436978053991066,0.593351101136204,14,19,0.0897435897435897,0.118012422360248,95,131,0.178571428571429,0.230633802816901,786,1088,0.167841127482383,0.218254764292879,Pacific
CA,06,075,00277302,06075,San Francisco,San Francisco County,06,H6,G4020,488,41860,41884,C,121477743,479114582,+37.7272391,-123.0322294,CA_San Francisco County,CA,San Francisco County,0.127872818386038,5.40540540540541,0.0191644308164048,0,0,0,0,NA,NaN,NaN,NA,0,0,NA,0,0,NA,0,0,NA,2.84575981787137,2.84575981787137,NA,0,0,NA,0,0,NA,NaN,NaN,NA,0,0,NA,0,0,NA,0,0,NA,15.3846153846154,15.3846153846154,NA,0,0,NA,CA,San Francisco County,3521,4876,0.99886524822695,0.999180327868852,13,19,1,1,1305,1807,0.998469778117827,0.998894416804865,308,428,1,1,1112,1540,1,1,40,55,1,1,227,313,1,1,517,716,0.996146435452794,0.997214484679666,Pacific
CA,06,049,00277289,06049,Modoc,Modoc County,06,H1,G4020,NA,NA,NA,A,10225096402,661284408,+41.5929185,-120.7183704,CA_Modoc County,CA,Modoc County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA,Modoc County,61,85,1,1,5,7,1,1,1,2,1,1,1,1,1,1,10,14,1,1,0,0,NA,NA,2,2,1,1,42,58,1,1,Pacific
CA,06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,NA,41740,NA,A,10904373558,817404622,+33.0236041,-116.7761174,CA_San Diego County,CA,San Diego County,70.0016489487455,14.6179694284725,14.0159531173694,8.84425795412881,0.631013665647077,0.745431364215895,0.826788990825688,0.76195613088817,0.5625,0.545454545454545,0.594594594594595,0.745431364215895,0.826788990825688,0.76195613088817,0.775862068965517,0.710526315789474,0.848484848484849,0.563636363636364,0.526119402985075,0.60539629005059,1.17949603037625,0.936635944700461,1.33802816901408,1.25115562403698,1.09622411693057,1.32521739130435,10.8973585815945,14.726381892209,10.0863795144624,8.25285338015803,9.28270042194093,7.98226164079823,10.8973585815945,14.726381892209,10.0863795144624,11.4834894036471,12.4694376528117,11.2345679012346,8.24156916724019,9.39362075008763,8.01618322704519,17.2432713128166,16.6807478174216,17.7077743193446,18.2859140771819,19.5077275329136,17.5314576558745,CA,San Diego County,9195,12733,0.151477710783829,0.198209838107098,79,111,0.456647398843931,0.541463414634146,511,707,0.0491298913566003,0.0667169953760498,309,461,0.176975945017182,0.242887249736565,4764,6597,0.20863624419725,0.26744233186038,32,44,0.120754716981132,0.15884476534296,497,688,0.106173894466994,0.141215106732348,3004,4159,0.145804009124885,0.191148083463554,Pacific
CA,06,099,00277314,06099,Stanislaus,Stanislaus County,06,H1,G4020,488,33700,NA,A,3874667416,46351766,+37.5623162,-121.0028311,CA_Stanislaus County,CA,Stanislaus County,62.0184872455782,9.1133181420812,10.7264957264957,4.78726724227608,0.446303001869563,0.691362018764154,0.714320805698845,0.730763370409874,0.824561403508772,0.618181818181818,0.829787234042553,0.691362018764154,0.714320805698845,0.730763370409874,1.17808219178082,1.54320987654321,1,0.585271317829457,0.669683257918552,0.573584905660377,1.50337167790559,1.05796761323633,1.59383499546691,1.44235294117647,1.40344168260038,1.39312039312039,6.30085541414563,11.7633517495396,5.68917072667749,7.55667506297229,10.2564102564103,6.42857142857143,6.30085541414563,11.7633517495396,5.68917072667749,10.7632093933464,25.5813953488372,7.76470588235294,5.32445923460898,11.0169491525424,4.46713465220166,13.7025244484876,17.4180778535298,12.4070240012269,13.1490222521915,23.1182795698925,10.8388704318937,CA,Stanislaus County,2602,3603,0.290369378417587,0.361674362577796,17,26,0.361702127659574,0.464285714285714,113,156,0.146183699870634,0.191176470588235,91,163,0.486631016042781,0.629343629343629,1492,2987,0.354394299287411,0.523575810692375,37,51,0.402173913043478,0.481132075471698,109,151,0.218436873747495,0.279112754158965,758,1049,0.239267676767677,0.303266840127204,Pacific
CA,06,101,00277315,06101,Sutter,Sutter County,06,H1,G4020,472,49700,NA,A,1560546528,15240591,+39.0361898,-121.7039397,CA_Sutter County,CA,Sutter County,59.7872340425532,4.57443653618031,0,2.77565342570516,Inf,0.647232304900181,NA,0.647232304900181,1.52830188679245,NA,1.52830188679245,0.647232304900181,NA,0.647232304900181,2.40740740740741,NA,2.40740740740741,0.197530864197531,NA,0.197530864197531,1.38384916399858,NA,1.38384916399858,1.52980132450331,NA,1.52980132450331,2.96047098402018,NA,2.96047098402018,6.94444444444444,NA,6.94444444444444,2.96047098402018,NA,2.96047098402018,11.1111111111111,NA,11.1111111111111,0.91324200913242,NA,0.91324200913242,6.32911392405063,NA,6.32911392405063,6.99386503067485,NA,6.99386503067485,CA,Sutter County,756,1285,0.550619082301529,0.675604626708728,7,11,0.583333333333333,0.6875,54,126,0.288770053475936,0.486486486486487,22,32,0.916666666666667,0.941176470588235,348,550,0.66412213740458,0.757575757575758,2,3,0.333333333333333,0.428571428571429,28,51,0.329411764705882,0.472222222222222,313,513,0.566003616636528,0.681274900398406,Pacific
CA,06,005,01675841,06005,Amador,Amador County,06,H1,G4020,NA,NA,NA,A,1539933596,29470567,+38.4435501,-120.6538563,CA_Amador County,CA,Amador County,62.1241050119332,6.37725701114099,8.58585858585859,2.13191205862758,0.248305051534271,0.889271653543307,0.864501160092807,0.891135303265941,0.202702702702703,0,0.425068119891008,0.889271653543307,0.864501160092807,0.891135303265941,2.22222222222222,2.33333333333333,0,0,0,0,1.0624632569077,1.06155443488579,1.07133479212254,1.17744360902256,1.27826086956522,0.972006220839813,5.6710775047259,7.421875,4.02930402930403,1.2987012987013,0,1.92307692307692,5.6710775047259,7.421875,4.02930402930403,14.2857142857143,20,0,0,0,0,6.77583286278938,9.11360799001248,4.84536082474227,7.51445086705202,10.9756097560976,4.3956043956044,CA,Amador County,97,187,0.368821292775665,0.529745042492918,7,9,0.875,0.9,2,3,0.666666666666667,0.75,2,2,1,1,25,47,0.454545454545455,0.61038961038961,0,0,0,0,6,10,0.315789473684211,0.434782608695652,63,117,0.344262295081967,0.493670886075949,Pacific
CA,06,107,00277318,06107,Tulare,Tulare County,06,H1,G4020,NA,47300,NA,A,12494889125,37207487,+36.2288339,-118.7810551,CA_Tulare County,CA,Tulare County,29.6275872560112,4.49906937937231,0.711743772241993,1.36252265891118,1.9143443357702,0.846993849629723,0.818991924255082,0.843804537521815,0.984615384615385,1.75,1.01754385964912,0.846993849629723,0.818991924255082,0.843804537521815,1,0,1.07142857142857,0.74025974025974,13.78125,0.59375,1.58211920529801,1.05091558731577,1.63698630136986,2.8735632183908,0,2.90909090909091,3.81021427420654,1.37646249139711,3.96149732620321,4.47761194029851,2.94117647058824,4.79041916167665,3.81021427420654,1.37646249139711,3.96149732620321,4.65116279069767,0,4.8780487804878,3.34029227557411,23.0769230769231,2.78969957081545,7.11857203569911,1.76600441501104,7.68869033623325,12.8676470588235,0,13.7254901960784,CA,Tulare County,5003,7468,0.781108508977361,0.841939120631342,39,57,0.8125,0.863636363636364,139,192,0.702020202020202,0.764940239043825,55,82,0.774647887323944,0.836734693877551,4033,5949,0.810002008435429,0.862799129804206,12,17,0.857142857142857,0.894736842105263,94,131,0.728682170542636,0.789156626506024,719,1057,0.682163187855787,0.75933908045977,Pacific
