"LEA_STATE","NMCNTY","total_ct_enr","total_ct_gt_enr","group_enr_ct","group_gt_enr_ct","group_missing_count_lower","group_missing_count_upper","group_missing_perc_lower","group_missing_perc_upper","group","year","region","state_perc_gt","state_nonT1_perc_gt"
"CA","Alameda County",228440,15199,613,11,26,41,0.702702702702703,0.788461538461538,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Alpine County",79,0,38,0,2,3,1,1,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Amador County",4190,166,120,1,7,9,0.875,0.9,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Butte County",31381,622,774,7,40,59,0.851063829787234,0.893939393939394,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Calaveras County",5064,0,77,0,5,6,1,1,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Colusa County",4847,33,76,0,5,6,1,1,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Contra Costa County",178930,6777,551,18,15,28,0.454545454545455,0.608695652173913,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Del Norte County",4235,436,592,43,1,7,0.0227272727272727,0.14,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","El Dorado County",29332,470,258,3,13,18,0.8125,0.857142857142857,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Fresno County",207363,4884,1413,66,38,54,0.365384615384615,0.45,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Glenn County",5308,26,112,1,6,9,0.857142857142857,0.9,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Humboldt County",18248,591,1711,21,84,124,0.8,0.855172413793103,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Imperial County",38580,1746,401,1,23,33,0.958333333333333,0.970588235294118,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Inyo County",2696,0,469,0,29,40,1,1,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Kern County",188462,10660,1016,42,24,44,0.363636363636364,0.511627906976744,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Kings County",28930,86,298,0,18,25,1,1,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Lake County",9432,40,418,3,24,33,0.888888888888889,0.916666666666667,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Lassen County",3784,21,219,1,12,17,0.923076923076923,0.944444444444444,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Los Angeles County",1461399,115518,3072,216,50,69,0.18796992481203,0.242105263157895,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Lyon County",151,0,3,0,0,0,NA,NA,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Madera County",32225,145,355,0,22,30,1,1,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Marin County",33674,403,145,1,8,11,0.888888888888889,0.916666666666667,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Mariposa County",1885,0,78,0,5,7,1,1,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Mendocino County",13204,296,886,4,50,71,0.925925925925926,0.946666666666667,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Merced County",58804,2491,353,7,15,23,0.681818181818182,0.766666666666667,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Modoc County",1006,0,87,0,5,7,1,1,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Mono County",1630,0,34,0,2,3,1,1,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Monterey County",80545,822,203,4,8,13,0.666666666666667,0.764705882352941,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Napa County",20946,1648,54,3,1,2,0.25,0.4,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Nevada County",13584,172,163,0,10,13,1,1,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Orange County",491662,49813,1124,81,12,16,0.129032258064516,0.164948453608247,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Placer County",66661,4408,466,20,8,19,0.285714285714286,0.487179487179487,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Plumas County",2167,0,76,0,5,6,1,1,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Riverside County",430747,17647,2017,79,48,91,0.377952755905512,0.535294117647059,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Sacramento County",251214,14424,1606,44,54,91,0.551020408163265,0.674074074074074,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","San Benito County",10899,39,29,0,2,2,1,1,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","San Bernardino County",406405,29792,1972,97,47,70,0.326388888888889,0.419161676646707,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","San Diego County",503351,51507,2435,94,79,111,0.456647398843931,0.541463414634146,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","San Francisco County",57870,4,221,0,13,19,1,1,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","San Joaquin County",150236,4984,1130,31,50,70,0.617283950617284,0.693069306930693,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","San Luis Obispo County",34701,1234,176,9,4,6,0.307692307692308,0.4,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","San Mateo County",94157,3190,162,2,8,12,0.8,0.857142857142857,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Santa Barbara County",70716,4762,264,11,5,11,0.3125,0.5,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Santa Clara County",272808,4689,903,13,42,64,0.763636363636364,0.831168831168831,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Santa Cruz County",38853,1872,136,8,6,8,0.428571428571429,0.5,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Shasta County",25897,1921,1102,47,52,72,0.525252525252525,0.605042016806723,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
